title,year,decade,rated,released,runtime,genre,director,writer,actors,plot,language,country,awards,poster,ratings_source,ratings_value,metascore,imdbrating,imdbvotes,imdbid,dvd,boxoffice,production,website,response,tomatourl
Your Highness,2011,2010,R,08 Apr 2011,102 min,"Adventure, Comedy, Fantasy",David Gordon Green,"Danny McBride, Ben Best","Danny McBride, James Franco, Rasmus Hardiker, Natalie Portman","When Prince Fabious's bride is kidnapped, he goes on a quest to rescue her... accompanied by his lazy useless brother Thadeous.",English,USA,1 win & 3 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2MDgwODIyMV5BMl5BanBnXkFtZTcwODc1NDQ0NA@@._V1_SX300.jpg,Internet Movie Database,5.6/10,31,5.6,"88,205",tt1240982,09 Aug 2011,"$21,600,000",Universal Pictures,http://www.yourhighnessmovie.net/,True,http://www.rottentomatoes.com/m/your_highness/
Bubble Boy,2001,2000,PG-13,24 Aug 2001,84 min,"Adventure, Comedy, Romance",Blair Hayes,"Cinco Paul, Ken Daurio","Jake Gyllenhaal, Swoosie Kurtz, Marley Shelton, Danny Trejo",A young man who was born without an immune system and has lived his life within a plastic bubble in his bedroom finds out that the woman he has loved since childhood is about to be married ...,English,USA,1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwYjczNmItYzczNS00MDQwLTkxNDctN2MwYzI5YzhmNGU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Internet Movie Database,5.6/10,41,5.6,"26,626",tt0258470,15 Jan 2002,N/A,Touchstone Pictures,http://bventertainment.go.com/movies/bubbleboy,True,http://www.rottentomatoes.com/m/bubble_boy/
Four Christmases,2008,2000,PG-13,26 Nov 2008,88 min,"Comedy, Drama, Romance",Seth Gordon,"Matt Allen (screenplay), Caleb Wilson (screenplay), Jon Lucas (screenplay), Scott Moore (screenplay), Matt Allen (story), Caleb Wilson (story)","Vince Vaughn, Reese Witherspoon, Robert Duvall, Sissy Spacek",A couple struggles to visit all four of their divorced parents on Christmas.,English,"Germany, USA",1 win & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2MjA0NDAwNF5BMl5BanBnXkFtZTcwOTU4MTM5MQ@@._V1_SX300.jpg,Internet Movie Database,5.6/10,41,5.6,"51,605",tt0369436,24 Nov 2009,"$120,100,000",New Line Cinema,http://www.fourchristmases.com/,True,http://www.rottentomatoes.com/m/four_christmases/
Malone,1987,1980,R,01 May 1987,92 min,"Action, Drama, Thriller",Harley Cokeliss,"Christopher Frank (screenplay), William P. Wingate (novel)","Burt Reynolds, Cliff Robertson, Kenneth McMillan, Cynthia Gibb",Ex-CIA hit-man running from his past (Malone) finds just how difficult it is to retire when he runs accross a small town controlled by mercenaries and a family that's resisting their ...,English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BNzMwNzU5MzAxOV5BMl5BanBnXkFtZTcwODQ1ODE1NA@@._V1_SX300.jpg,Internet Movie Database,5.6/10,N/A,5.6,"1,918",tt0093483,N/A,N/A,MGM,N/A,True,http://www.rottentomatoes.com/m/malone/
Lady in the Water,2006,2000,PG-13,21 Jul 2006,110 min,"Drama, Fantasy, Mystery",M. Night Shyamalan,M. Night Shyamalan,"Paul Giamatti, Bryce Dallas Howard, Jeffrey Wright, Bob Balaban","Apartment building superintendent Cleveland Heep rescues what he thinks is a young woman from the pool he maintains. When he discovers that she is actually a character from a bedtime story who is trying to make the journey back to her home, he works with his tenants to protect his new friend from the creatures that are determined to keep her in our world.",English,USA,10 wins & 10 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyNTc0NTk5M15BMl5BanBnXkFtZTcwMDE5NzkyMw@@._V1_SX300.jpg,Internet Movie Database,5.6/10,36,5.6,"83,028",tt0452637,19 Dec 2006,"$42,219,433",Warner Bros. Pictures,http://ladyinthewater.warnerbros.com/,True,http://www.rottentomatoes.com/m/lady_in_the_water/
The Crew,2000,2000,PG-13,25 Aug 2000,88 min,"Crime, Comedy",Michael Dinner,Barry Fanaro,"Richard Dreyfuss, Burt Reynolds, Dan Hedaya, Seymour Cassel",Four retired mobsters plan one last crime to save their retirement home.,"English, Spanish",USA,1 win.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk2NDA2NTY2MV5BMl5BanBnXkFtZTcwNjg2MjIyMQ@@._V1_SX300.jpg,Internet Movie Database,5.6/10,37,5.6,"4,060",tt0198386,13 Mar 2001,"$12,485,210",Touchstone Pictures,http://studio.go.com/movies/thecrew/index.html,True,http://www.rottentomatoes.com/m/1099659-crew/
Because I Said So,2007,2000,PG-13,02 Feb 2007,102 min,"Comedy, Romance",Michael Lehmann,"Karen Leigh Hopkins, Jessie Nelson","Diane Keaton, Mandy Moore, Gabriel Macht, Tom Everett Scott",A meddling mother tries to set her daughter up with the right man so her kid won't follow in her footsteps.,"English, Mandarin, Italian",USA,1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAyNjU4NTMzNl5BMl5BanBnXkFtZTcwNzk3NzI0MQ@@._V1_SX300.jpg,Internet Movie Database,5.6/10,26,5.6,"33,516",tt0490084,08 May 2007,"$42,640,890",Universal Pictures,http://www.becauseisaidsomovie.com,True,http://www.rottentomatoes.com/m/because_i_said_so/
5 Days of War,2011,2010,R,06 Jun 2011,113 min,"Action, Drama, War",Renny Harlin,"Mikko Alanne (screenplay), David Battle (based on a screenplay by)","Rupert Friend, Emmanuelle Chriqui, Richard Coyle, Heather Graham","A drama set centered around the war between Russia and Georgia, and focused on an American journalist, his cameraman, and a Georgian native who become caught in the crossfire.",English,"Georgia, USA",N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM2Nzg0NDg4NV5BMl5BanBnXkFtZTcwNTEyODQ4NQ@@._V1_SX300.jpg,Internet Movie Database,5.6/10,31,5.6,"12,493",tt1486193,29 Nov 2011,"$17,243",Anchor Bay Entertainment,http://www.fivedaysofwar.com/,True,http://www.rottentomatoes.com/m/5_days_of_war/
Good Luck Chuck,2007,2000,R,21 Sep 2007,96 min,"Comedy, Romance",Mark Helfrich,"Josh Stolberg (screenplay), Steve Glenn (short story)","Connor Price, Troy Gentile, Mackenzie Mowat, Sasha Pieterse","In order to keep the woman of his dreams from falling for another guy, Charlie Logan has to break the curse that has made him wildly popular with single women: Sleep with Charlie once, and the next man you meet will be your true love.",English,"USA, Canada",1 win & 3 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwMTI1MTQzM15BMl5BanBnXkFtZTcwOTgwNjM1MQ@@._V1_SX300.jpg,Internet Movie Database,5.6/10,19,5.6,"76,928",tt0452625,15 Jan 2008,"$35,000,629",Lionsgate Films,http://www.lionsgate.com/goodluckchuck,True,http://www.rottentomatoes.com/m/good_luck_chuck/
Alex & Emma,2003,2000,PG-13,20 Jun 2003,96 min,"Comedy, Romance",Rob Reiner,Jeremy Leven,"Luke Wilson, Derek Barbosa, Lobo Sebastian, Rob Reiner",A writer must turn out a novel in thirty days or face the wrath of loan sharks.,"English, French",USA,1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BODEyNDgyMjc4NF5BMl5BanBnXkFtZTYwMzI5MzI3._V1_SX300.jpg,Internet Movie Database,5.6/10,32,5.6,"11,843",tt0318283,23 Dec 2003,"$14,200,000",Warner Bros.,http://alexandemmamovie.warnerbros.com,True,http://www.rottentomatoes.com/m/alex_and_emma/
Dickie Roberts: Former Child Star,2003,2000,PG-13,05 Sep 2003,98 min,Comedy,Sam Weisman,"Fred Wolf, David Spade","David Spade, Mary McCormack, Craig Bierko, Scott Terra",A thirty-something former child star hires a foster family to re-create the childhood he never had.,English,USA,1 win & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIxODcyODYwMF5BMl5BanBnXkFtZTYwNTcwMzM3._V1_SX300.jpg,Internet Movie Database,5.6/10,36,5.6,"12,163",tt0325258,17 Feb 2004,"$22,715,908",Paramount Pictures,http://www.dickieroberts.com,True,http://www.rottentomatoes.com/m/dickie_roberts_former_child_star/
Rugrats Go Wild,2003,2000,PG,13 Jun 2003,80 min,"Animation, Adventure, Comedy","John Eng, Norton Virgien",Kate Boutilier,"Elizabeth Daily, Nancy Cartwright, Kath Soucie, Dionne Quan","The Rugrats get tangled in an exotic adventure, where they're helped by the Thornberrys, a family that travels the world making nature documentaries.",English,USA,2 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BOTYzMTAwNTI3MV5BMl5BanBnXkFtZTYwMzU3NTM3._V1_SX300.jpg,Internet Movie Database,5.6/10,38,5.6,"6,015",tt0337711,16 Dec 2003,"$39,400,000",Paramount Pictures,http://www.nick.com/all_nick/movies/rugratsgowild/,True,http://www.rottentomatoes.com/m/rugrats_go_wild/
Maggie,2015,2010,PG-13,08 May 2015,95 min,"Drama, Horror",Henry Hobson,John Scott 3,"Arnold Schwarzenegger, Abigail Breslin, Joely Richardson, Douglas M. Griffin","A teenage girl in the Midwest becomes infected by an outbreak of a disease that slowly turns the infected into cannibalistic zombies. During her transformation, her loving father stays by her side.",English,"USA, Switzerland",1 win & 4 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkyNzk0MTU2Ml5BMl5BanBnXkFtZTgwNDExNzMyNTE@._V1_SX300.jpg,Internet Movie Database,5.6/10,52,5.6,"34,225",tt1881002,07 Jul 2015,"$136,397",Lionsgate Films,http://www.maggiethefilm.com,True,http://www.rottentomatoes.com/m/maggie_2015/
Enough,2002,2000,PG-13,24 May 2002,115 min,"Crime, Drama, Thriller",Michael Apted,Nicholas Kazan,"Jennifer Lopez, Billy Campbell, Tessa Allen, Juliette Lewis","After running away fails, a terrified woman (Jennifer Lopez) empowers herself in order to battle her abusive husband (Billy Campbell).",English,USA,4 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BZTViYzM3MWYtM2IzMC00NjMwLWE2ZDQtMTQ1YmE5NGE0MTU5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Internet Movie Database,5.6/10,25,5.6,"32,316",tt0278435,08 Oct 2002,"$39,177,215",Sony Pictures,http://www.sonypictures.com/movies/enough,True,http://www.rottentomatoes.com/m/1114051-enough/
Failure to Launch,2006,2000,PG-13,10 Mar 2006,97 min,"Comedy, Romance",Tom Dey,"Tom J. Astle, Matt Ember","Matthew McConaughey, Sarah Jessica Parker, Zooey Deschanel, Justin Bartha","A thirty-something, is still living at home until his parents hire an interventionist to help him graduate out of the house. That's when the fun begins.",English,USA,5 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0OTc2MDQ3NV5BMl5BanBnXkFtZTcwNDUwMjEzMw@@._V1_SX300.jpg,Internet Movie Database,5.6/10,47,5.6,"61,357",tt0427229,27 Jun 2006,"$88,658,172",Paramount Pictures,http://www.failuretolaunchmovie.com/,True,http://www.rottentomatoes.com/m/failure_to_launch/
What Planet Are You From?,2000,2000,R,03 Mar 2000,105 min,"Comedy, Sci-Fi",Mike Nichols,"Garry Shandling (story), Michael Leeson (story), Garry Shandling (screenplay), Michael Leeson (screenplay), Ed Solomon (screenplay), Peter Tolan (screenplay)","Garry Shandling, Annette Bening, John Goodman, Greg Kinnear","A highly advanced civilization, whose citizens feel no emotion and reproduce by cloning, plans to conquer Earth from the inside by sending an operative, fashioned with a humming, mechanical...",English,USA,1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM4ODgzNDU2OF5BMl5BanBnXkFtZTYwMjI1Njc2._V1_SX300.jpg,Internet Movie Database,5.6/10,41,5.6,"8,292",tt0181151,18 Jul 2000,N/A,Columbia Pictures,http://www.spe.sony.com/movies/whatplanet,True,http://www.rottentomatoes.com/m/1095351-1095351-what_planet_are_you_from/
Angel Eyes,2001,2000,R,18 May 2001,102 min,"Drama, Romance",Luis Mandoki,Gerald Di Pego,"Jennifer Lopez, Jim Caviezel, Jeremy Sisto, Terrence Howard","A mysterious man is drawn to a feisty female police officer and a unusual relationship ensues, as not everything is as it seems.",English,USA,3 wins & 5 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNDQwNzI2OTY2Ml5BMl5BanBnXkFtZTYwOTI3ODc5._V1_SX300.jpg,Internet Movie Database,5.6/10,39,5.6,"20,127",tt0225071,26 Oct 2004,N/A,Bandai,N/A,True,http://www.rottentomatoes.com/m/angel-links/
The Promise,2005,2000,PG-13,05 May 2006,121 min,"Action, Drama, Fantasy",Kaige Chen,"Kaige Chen, Tan Cheung","Dong-gun Jang, Hiroyuki Sanada, Cecilia Cheung, Nicholas Tse","Empowered by the love of a slave (Jang), a royal concubine (Cheung) is given the chance to make an extraordinary decision.",Mandarin,"China, South Korea, USA",Nominated for 1 Golden Globe. Another 1 win & 6 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjgwNDM1NTY2NF5BMl5BanBnXkFtZTcwNjc4NDUzMQ@@._V1_SX300.jpg,Internet Movie Database,5.6/10,53,5.6,"8,398",tt0417976,18 Apr 2007,"$632,879",Warner Independent Pictures,http://wip.warnerbros.com/promise/,True,http://www.rottentomatoes.com/m/1154356-promise/
Poseidon,2006,2000,PG-13,12 May 2006,98 min,"Action, Adventure, Drama",Wolfgang Petersen,"Mark Protosevich (screenplay), Paul Gallico (novel)","Josh Lucas, Kurt Russell, Jacinda Barrett, Richard Dreyfuss","On New Year's Eve, the luxury ocean liner Poseidon capsizes after being swamped by a rogue wave. The survivors are left to fight for their lives as they attempt to escape the sinking ship.","English, Spanish",USA,Nominated for 1 Oscar. Another 6 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwOTMwODM2Nl5BMl5BanBnXkFtZTYwMDY5NjU3._V1_SX300.jpg,Internet Movie Database,5.6/10,50,5.6,"85,297",tt0409182,22 Aug 2006,"$60,600,000",Warner Bros. Pictures,http://poseidonmovie.warnerbros.com/,True,http://www.rottentomatoes.com/m/poseidon/
Jeepers Creepers II,2003,2000,R,29 Aug 2003,104 min,Horror,Victor Salva,"Victor Salva (characters), Victor Salva","Ray Wise, Jonathan Breck, Garikayi Mutambirwa, Eric Nenninger","Set a few days after the original, a championship basketball team's bus is attacked by The Creeper, the winged, flesh-eating terror, on the last day of his 23-day feeding frenzy.",English,USA,6 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIxNDI2NzQyNF5BMl5BanBnXkFtZTYwMTY5MTQ3._V1_SX300.jpg,Internet Movie Database,5.6/10,36,5.6,"47,746",tt0301470,23 Dec 2003,"$35,200,000",MGM/UA,http://www.jeeperscreepers2.net,True,http://www.rottentomatoes.com/m/jeepers_creepers_2/
That's My Boy,2012,2010,R,15 Jun 2012,116 min,"Comedy, Drama",Sean Anders,David Caspe,"Adam Sandler, Andy Samberg, Leighton Meester, Vanilla Ice","While in his teens, Donny fathered a son, Todd, and raised him as a single parent up until Todd's 18th birthday. Now, after not seeing each other for years, Todd's world comes crashing down when Donny resurfaces just before Todd's wedding.",English,USA,5 wins & 10 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM3NDMyNzgzMV5BMl5BanBnXkFtZTcwMjIyMTA1Nw@@._V1_SX300.jpg,Internet Movie Database,5.6/10,31,5.6,"74,826",tt1232200,16 Oct 2012,"$36,900,000",Sony Pictures,http://thatsmyboy-movie.com/,True,http://www.rottentomatoes.com/m/thats_my_boy/
Beastly,2011,2010,PG-13,04 Mar 2011,86 min,"Drama, Fantasy, Romance",Daniel Barnz,"Daniel Barnz (screenplay), Alex Flinn (novel)","Alex Pettyfer, Justin Bradley, Mary-Kate Olsen, Dakota Johnson","A modern-day take on the """"Beauty and the Beast"""" tale where a New York teen is transformed into a hideous monster in order to find true love.",English,USA,1 win & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMzUzMTcxMTEzNV5BMl5BanBnXkFtZTcwMTcwNjcxNA@@._V1_SX300.jpg,Internet Movie Database,5.6/10,40,5.6,"67,507",tt1152398,28 Jun 2011,"$27,854,896",CBS Films,http://www.beastlythemovie.com/,True,http://www.rottentomatoes.com/m/beastly/
Club Dread,2004,2000,R,27 Feb 2004,104 min,"Comedy, Horror, Thriller",Jay Chandrasekhar,"Jay Chandrasekhar, Kevin Heffernan, Steve Lemme, Paul Soter, Erik Stolhanske","Elena Lyons, Dan Montgomery Jr., Tanja Reichert, Nat Faxon",When a serial killer interrupts the fun at the swanky Coconut Pete's Coconut Beach Resort--a hedonistic island paradise for swingers--it's up to the club's staff to stop the violence...or at least hide it.,English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMjExNDgxMjEwNl5BMl5BanBnXkFtZTcwMTYzNzQyMQ@@._V1_SX300.jpg,Internet Movie Database,5.6/10,45,5.6,"24,646",tt0331953,25 May 2004,"$4,559,739",Fox Searchlight Pictures,http://www.foxsearchlight.com/clubdread,True,http://www.rottentomatoes.com/m/club-dread/
Cop Out,2010,2010,R,26 Feb 2010,107 min,"Action, Comedy, Crime",Kevin Smith,"Robb Cullen, Mark Cullen","Bruce Willis, Tracy Morgan, Juan Carlos Hernández, Cory Fernandez","Jimmy's rare baseball card is robbed. Since it's his only hope to pay for his daughter's upcoming wedding, he recruits his cop partner Paul to track down the robber, a memorabilia-obsessed gangster.","English, Spanish",USA,1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk0NzcxMjYwNF5BMl5BanBnXkFtZTcwMTI4MTIxMw@@._V1_SX300.jpg,Internet Movie Database,5.6/10,31,5.6,"77,443",tt1385867,20 Jul 2010,"$44,047,293",Warner Bros. Pictures,http://copoutmovie.warnerbros.com/,True,http://www.rottentomatoes.com/m/cop_out/
Wild Card,2015,2010,R,14 Jan 2015,92 min,"Action, Crime, Drama",Simon West,"William Goldman (screenplay), William Goldman (novel)","Jason Statham, Michael Angarano, Dominik García-Lorido, Hope Davis","When a Las Vegas bodyguard with lethal skills and a gambling problem gets in trouble with the mob, he has one last play...and it's all or nothing.",English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAyNjkyOTgzNF5BMl5BanBnXkFtZTgwMTk0MDc2MzE@._V1_SX300.jpg,Internet Movie Database,5.6/10,40,5.6,"40,560",tt2231253,31 Mar 2015,N/A,The Film Arcade,N/A,True,http://www.rottentomatoes.com/m/heat_2013/
Love Happens,2009,2000,PG-13,18 Sep 2009,109 min,"Drama, Romance",Brandon Camp,"Brandon Camp, Mike Thompson","Aaron Eckhart, Jennifer Aniston, Dan Fogler, John Carroll Lynch","A widower whose book about coping with loss turns him into a best-selling self-help guru, falls for the hotel florist where his seminar is given, only to learn that he hasn't yet truly confronted his wife's passing.",English,"USA, Canada, UK",1 win.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU1ODc4NjkyOF5BMl5BanBnXkFtZTcwMTA1MjU2Mg@@._V1_SX300.jpg,Internet Movie Database,5.6/10,33,5.6,"26,617",tt0899106,02 Feb 2010,"$22,927,390",Universal Pictures,http://www.lovehappensmovie.com/,True,http://www.rottentomatoes.com/m/love_happens/
The Benchwarmers,2006,2000,PG-13,07 Apr 2006,80 min,"Action, Comedy, Family",Dennis Dugan,"Allen Covert, Nick Swardson","Rob Schneider, David Spade, Jon Heder, Jon Lovitz",A trio of guys try and make up for missed opportunities in childhood by forming a three-player baseball team to compete against standard children baseball squads.,"English, Spanish",USA,7 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxMzg3NDQwNl5BMl5BanBnXkFtZTcwMjk1ODQzMQ@@._V1_SX300.jpg,Internet Movie Database,5.6/10,25,5.6,"42,428",tt0437863,25 Jul 2006,"$57,651,794",Sony Pictures Releasing,http://www.sonypictures.com/movies/thebenchwarmers,True,http://www.rottentomatoes.com/m/benchwarmers/
Silent Trigger,1996,1990,R,12 Oct 1996,93 min,"Action, Drama, Thriller",Russell Mulcahy,Sergio Altieri,"Dolph Lundgren, Gina Bellman, Conrad Dunn, Christopher Heyerdahl","Waxman is a former Special Forces soldier who is now working as a heavily armed assassin for a top secret government agency. When a covert mission goes terribly wrong, Waxman and fellow assassin Clegg become that agency's prime targets.",English,"Canada, UK",N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BYTdlMjNkNTItOTQxZi00OTUzLTkzNzQtOWU3OWUxMmMwZDA4L2ltYWdlXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_SX300.jpg,Internet Movie Database,5.6/10,N/A,5.6,"2,922",tt0117653,18 Dec 2001,N/A,Exclusive Media,N/A,True,http://www.rottentomatoes.com/m/silent_trigger/
The Texas Chainsaw Massacre 2,1986,1980,UNRATED,22 Aug 1986,101 min,"Comedy, Horror",Tobe Hooper,"L.M. Kit Carson, Tobe Hooper (film """"The Texas Chainsaw Massacre"""")","Dennis Hopper, Caroline Williams, Jim Siedow, Bill Moseley",A radio host is victimized by the cannibal family as a former Texas Marshall hunts them.,English,USA,1 win & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMDNjNTg3MWUtNjUxNi00MzYxLWJmODctNTg0ZmI1Zjc2Y2Q0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Internet Movie Database,5.6/10,N/A,5.6,"20,529",tt0092076,01 Aug 2000,N/A,Media Home Entertainment,N/A,True,http://www.rottentomatoes.com/m/texas_chainsaw_massacre_2/
40 Days and 40 Nights,2002,2000,R,01 Mar 2002,96 min,"Comedy, Romance",Michael Lehmann,Rob Perez,"Josh Hartnett, Shannyn Sossamon, Paulo Costanzo, Adam Trese","After a brutal break-up, a young man vows to stay celibate during the forty days of Lent, but finds the girl of his dreams and is unable to do anything about it.",English,"USA, UK, France",1 win & 2 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BYjY1ZWYwM2MtNDk0YS00NjY5LWJiYzQtZjVmYmNlN2Y0MzVkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,Internet Movie Database,5.6/10,53,5.6,"64,074",tt0243736,17 Sep 2002,N/A,Miramax Films,http://www.miramax.com/40daysand40nights,True,http://www.rottentomatoes.com/m/40_days_and_40_nights/
Saw 3D: The Final Chapter,2010,2010,R,29 Oct 2010,90 min,"Horror, Mystery",Kevin Greutert,"Patrick Melton, Marcus Dunstan","Tobin Bell, Costas Mandylor, Betsy Russell, Cary Elwes","As a deadly battle rages over Jigsaw's brutal legacy, a group of Jigsaw survivors gathers to seek the support of self-help guru and fellow survivor Bobby Dagen, a man whose own dark secrets unleash a new wave of terror.",English,"Canada, USA",3 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI0NTEwNTgwNF5BMl5BanBnXkFtZTcwMDM5MTU5Mw@@._V1_SX300.jpg,Internet Movie Database,5.6/10,24,5.6,"72,127",tt1477076,25 Jan 2011,"$45,670,855",Lionsgate,http://www.saw3dmovie.com/,True,http://www.rottentomatoes.com/m/saw3d/
Hardflip,2012,2010,PG-13,01 Jun 2012,112 min,"Action, Drama",Johnny Remo,"Daniel Backman, Johnny Remo","Randy Wayne, John Schneider, Rosanna Arquette, Sean Michael Afable",Caleb (Randy Wayne) is a young skater whose ill mother (Rosanna Arquette) and absent father (John Schneider) leave him reaching for the only hope he has -- becoming a sponsored skater. ...,English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwNzE4ODc1NF5BMl5BanBnXkFtZTcwMjU3MzM3Nw@@._V1_SX300.jpg,Internet Movie Database,5.6/10,N/A,5.6,634,tt1907639,N/A,"$96,734",Rocky Mountain Pictures,http://www.hardflipmovie.com/,True,http://www.rottentomatoes.com/m/hardflip/
How to Deal,2003,2000,PG-13,18 Jul 2003,101 min,"Comedy, Drama, Romance",Clare Kilner,"Sarah Dessen (novels), Neena Beber (screenplay)","Mandy Moore, Allison Janney, Trent Ford, Alexandra Holden","A teenager (Moore), disillusioned by too many examples of love gone wrong, refuses to believe that true love exists. Then this new guy (Ford) comes along...",English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEwNjA3MDIwMF5BMl5BanBnXkFtZTYwODY5NjY3._V1_SX300.jpg,Internet Movie Database,5.6/10,45,5.6,"8,377",tt0319524,01 Jun 2004,"$14,108,518",New Line Cinema,http://www.howtodealmovie.com,True,http://www.rottentomatoes.com/m/how_to_deal/
Drowning Mona,2000,2000,PG-13,03 Mar 2000,96 min,"Crime, Mystery, Comedy",Nick Gomez,Peter Steinfeld,"Danny DeVito, Bette Midler, Neve Campbell, Jamie Lee Curtis","When a woman drives a car into the river to her death, everyone in town becomes a suspect.",English,USA,1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BYWNhYWUxMzAtNmJmYS00Yjg5LWIyYWUtY2IxMDRjZmZhOTZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Internet Movie Database,5.6/10,25,5.6,"12,055",tt0186045,25 Jul 2000,N/A,Sony Pictures Home Entertainment,http://www.drowningmona.com,True,http://www.rottentomatoes.com/m/drowning_mona/
Hoot,2006,2000,PG,05 May 2006,91 min,"Adventure, Comedy, Family",Wil Shriner,"Wil Shriner (screenplay), Carl Hiaasen (novel)","Luke Wilson, Logan Lerman, Brie Larson, Tim Blake Nelson","A young man (Lerman) moves from Montana to Florida with his family, where he's compelled to engage in a fight to protect a population of endangered owls.",English,USA,1 win & 5 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwNzA3NTczNl5BMl5BanBnXkFtZTcwNzg2NDQzMQ@@._V1_SX300.jpg,Internet Movie Database,5.6/10,46,5.6,"6,862",tt0453494,15 Aug 2006,"$8,080,116",New Line Cinema,http://www.hootmovie.com/,True,http://www.rottentomatoes.com/m/hoot/
I Know What You Did Last Summer,1997,1990,R,17 Oct 1997,101 min,"Horror, Mystery, Thriller",Jim Gillespie,"Lois Duncan (novel), Kevin Williamson (screenplay)","Jennifer Love Hewitt, Sarah Michelle Gellar, Ryan Phillippe, Freddie Prinze Jr.","After a nasty accident, four friends begin to drift apart. One year later Julie James gets a anonymous message and then a slicker wearing, hook wielding killer begins to rip apart her life.",English,USA,3 wins & 7 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BZDI4ODJlNGUtNjFiMy00ODgzLWIzYjgtMzgyZTljZDQ2NGZiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Internet Movie Database,5.6/10,52,5.6,"110,778",tt0119345,07 Aug 2001,N/A,Sony Pictures Home Entertainment,N/A,True,http://www.rottentomatoes.com/m/i_know_what_you_did_last_summer/
Two Girls and a Guy,1997,1990,R,24 Apr 1998,84 min,"Comedy, Drama",James Toback,James Toback,"Natasha Gregson Wagner, Heather Graham, Angel David, Frederique Van Der Wal","Two girls, Carla and Lou meet on the street outside a loft waiting for their boyfriends. In a short time, they find out that they're waiting for the same guy - young actor Blake, who said ...",English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1MDIzNjMzMV5BMl5BanBnXkFtZTcwNTY0NDkxMQ@@._V1_SX300.jpg,Internet Movie Database,5.6/10,66,5.6,"6,138",tt0124179,05 Jun 2001,N/A,Twentieth Century Fox Home Entertainment,N/A,True,http://www.rottentomatoes.com/m/two_girls_and_a_guy/
